id,song_name,artist_name,video_id,video_title,view_count,like_count,comment_count,support_rate,engagement_rate,published_at,release_date,tags,difficulty,release_status
10010282,前前前世,RADWIMPS,PDSkFeMVNFs,RADWIMPS - 前前前世 (movie ver.) [Official Music Video],346409225,1597540,112657,0.46,0.49,2016-08-19T11:56:05Z,2024/05/22,"[""ポップス""]",かんたん：2むずかしい：7げきむず：0,リリース
10010259,廻廻奇譚,Eve,1tk1pqwrOys,廻廻奇譚 - Eve MV,443891098,3111331,84417,0.7,0.72,2020-11-20T10:00:00Z,2024/06/05,"[""アニメ""]",かんたん：2むずかしい：6げきむず：0,リリース
10012459,BREAKOUT,Snow Man,H0S28p3eoWs,Snow Man「BREAKOUT」Music Video,85140997,240719,50200,0.28,0.34,2024-06-19T13:00:08Z,2024/08/20,"[""ポップス""]",かんたん：2むずかしい：6げきむず：0,リリース
10010235,猫,DISH//,1KgAear9rao,猫,28546597,60853,269,0.21,0.21,2018-08-26T07:38:16Z,2024/04/28,"[""ポップス""]",かんたん：2むずかしい：5げきむず：8,リリース
10010236,ハルノヒ,あいみょん,pfGI91CFtRg,あいみょん – ハルノヒ【OFFICIAL MUSIC VIDEO】,126306568,383524,13230,0.3,0.31,2019-04-02T23:00:02Z,2024/05/27,"[""ポップス""]",かんたん：1むずかしい：6げきむず：0,リリース
10010202,Lemon,米津玄師,SX_ViT4Ra7k,米津玄師  Kenshi Yonezu  - Lemon,954054196,3457403,286073,0.36,0.39,2018-02-26T23:00:04Z,2024/05/12,"[""ポップス""]",かんたん：2むずかしい：5げきむず：0,リリース
10010218,千本桜,黒うさ,shs0rAiwsGQ,「ＭＶ」　千本桜　WhiteFlame feat 初音ミク,77764730,577995,26874,0.74,0.78,2014-12-02T09:40:07Z,2021/09/10,"[""ボカロ""]",かんたん：3むずかしい：6げきむず：9,リリース
10010252,うっせぇわ,Ado,Qp3b-RXtz4w,【Ado】うっせぇわ,398340604,3615521,239358,0.91,0.97,2020-10-23T11:00:11Z,2021/08/05,"[""ポップス""]",かんたん：4むずかしい：7げきむず：0,リリース
10010264,三原色,YOASOBI,nhOhFOoURnE,YOASOBI「三原色」Official Music Video,101350418,685510,15222,0.68,0.69,2021-07-03T11:00:12Z,2024/04/18,"[""ポップス""]",かんたん：3むずかしい：6げきむず：0,リリース
10010265,グッバイ宣言,FloweR,dHXC_ahjtEE,Chinozo &#39;グッバイ宣言&#39; feat.FloweR,149934029,1359596,84547,0.91,0.96,2020-04-13T09:00:34Z,2021/09/08,"[""ボカロ""]",かんたん：3むずかしい：5げきむず：8,リリース
10010276,水平線,back number,iqEr3P78fz8,back number - 水平線,284769296,1155935,41619,0.41,0.42,2020-08-17T15:00:14Z,2024/04/26,"[""ポップス""]",かんたん：2むずかしい：5げきむず：0,リリース
10010280,女々しくて,ゴールデンボンバー,BC9P3DSZu0A,ゴールデンボンバー「女々しくて」MV,24951080,213881,10067,0.86,0.9,2020-03-13T05:30:02Z,2024/06/11,"[""ポップス""]",かんたん：2むずかしい：5げきむず：7,リリース
10010287,フォニイ,ツミキ,9QLT1Aw_45s,フォニイ / phony - kafu [オリジナル],72209729,683688,13643,0.95,0.97,2021-06-05T10:00:16Z,2024/04/25,"[""ボカロ""]",かんたん：2むずかしい：6げきむず：0,リリース
10010291,おかえりらぶっ！,すとぷり,c3DazWbrI_Q,【MV】おかえりらぶっ！／すとぷり【HoneyWorks】,29057802,323873,29959,1.11,1.22,2019-06-02T10:45:00Z,2024/03/02,"[""ポップス""]",かんたん：3むずかしい：5げきむず：0,リリース
10010292,ギラギラ,Ado,sOiMD45QGLs,【Ado】ギラギラ,205786037,1357886,44550,0.66,0.68,2021-02-14T11:00:16Z,2024/04/21,"[""ポップス""]",かんたん：2むずかしい：5げきむず：0,リリース
10010296,生きる feat. 可不,水野あつ,91R2hdV_-aQ,生きる  feat. 可不 - 水野あつ,28991928,391017,12809,1.35,1.39,2021-07-22T09:00:12Z,2021/10/16,"[""ボカロ""]",かんたん：2むずかしい：4げきむず：0,リリース
10010303,キュートなカノジョ,syudou,oFmup8lxUHw,【可不】キュートなカノジョ【syudou】,42465198,435336,12369,1.03,1.05,2021-02-20T09:00:33Z,2024/05/21,"[""ボカロ""]",かんたん：3むずかしい：7げきむず：0,リリース
10010315,トンデモワンダーズ,sasakure.‌UK,dBQg24mx45Y,『トンデモワンダーズ』feat.初音ミク (+KAITO)  / sasakure.‌UK,28044421,394916,10705,1.41,1.45,2021-06-19T13:29:46Z,2023/12/27,"[""ボカロ""]",かんたん：4むずかしい：6げきむず：9,リリース
10010317,シンデレラボーイ,Saucy Dog,IVbY5edMfCA,Saucy Dog「シンデレラボーイ」Music Video ＜5th Mini Album「レイジーサンデー」2021.8.25 Release＞,129097530,628556,9365,0.49,0.49,2021-08-20T11:00:10Z,2024/05/31,"[""ポップス""]",かんたん：2むずかしい：5げきむず：0,リリース
10010327,ロキ,みきとP,Xg-qfsKN2_E,みきとP 『 ロキ 』 MV,88154145,638548,25280,0.72,0.75,2018-02-27T11:00:04Z,2024/04/12,"[""ボカロ""]",かんたん：4むずかしい：6げきむず：0,リリース
10010386,ヒバナ,DECO*27,hxSg2Ioz3LM,DECO*27 - ヒバナ feat. 初音ミク,80423142,594753,21068,0.74,0.77,2017-08-04T10:00:04Z,2022/01/09,"[""ボカロ""]",かんたん：4むずかしい：6げきむず：8,リリース
10010389,ゴーストルール feat. 初音ミク,DECO*27,KushW6zvazM,DECO*27 - ゴーストルール feat. 初音ミク,54409284,469464,12764,0.86,0.89,2016-01-08T11:00:00Z,2024/05/15,"[""ボカロ""]",かんたん：2むずかしい：7げきむず：0,リリース
10010390,第六感,Reol,Ue6VQTcKPQo,Reol - &#39;第六感 / THE SIXTH SENSE&#39; Music Video,80562851,773673,18168,0.96,0.98,2020-07-28T15:00:11Z,2024/04/08,"[""ポップス""]",かんたん：2むずかしい：5げきむず：0,リリース
10010399,神っぽいな feat. 初音ミク,ピノキオピー,EHBFKhLUVig,ピノキオピー - 神っぽいな feat. 初音ミク / God-ish,87950075,844127,15954,0.96,0.98,2021-09-17T10:00:05Z,2022/01/02,"[""ボカロ""]",かんたん：3むずかしい：5げきむず：0,リリース
10010414,踊り子,Vaundy,7HgJIAUtICU,【第75回NHK紅白歌合戦 歌唱曲】踊り子 / Vaundy：MUSIC VIDEO,137909147,1211822,19516,0.88,0.89,2021-11-16T15:00:11Z,2024/04/10,"[""ポップス""]",かんたん：1むずかしい：5げきむず：0,リリース
